stage,idx,RSI_PERIOD,BB_PERIOD,STOCH_K_PERIOD,STOCH_D_PERIOD,EMA_FAST_PERIOD,EMA_SLOW_PERIOD,ATR_PERIOD,total,triggered,coverage,wins_1m,losses_1m,wr_1m,wins_3m,losses_3m,wr_3m,wins_5m,losses_5m,wr_5m,objective
indicator,1,7,14,5,3,8,21,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,2,7,14,5,3,5,13,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,3,7,14,7,3,8,21,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,4,7,14,7,3,5,13,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,5,7,20,5,3,8,21,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,6,7,20,5,3,5,13,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,7,7,20,7,3,8,21,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,8,7,20,7,3,5,13,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,9,9,14,5,3,8,21,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,10,9,14,5,3,5,13,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,11,9,14,7,3,8,21,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,12,9,14,7,3,5,13,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,13,9,20,5,3,8,21,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,14,9,20,5,3,5,13,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,15,9,20,7,3,8,21,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,16,9,20,7,3,5,13,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,17,14,14,5,3,8,21,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,18,14,14,5,3,5,13,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,19,14,14,7,3,8,21,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,20,14,14,7,3,5,13,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,21,14,20,5,3,8,21,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,22,14,20,5,3,5,13,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,23,14,20,7,3,8,21,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
indicator,24,14,20,7,3,5,13,7,79,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
